src,hrc_key,desired_metric,achieved_metric,distance_index,distance
People_017_h.jpg,E,0.26604605095,0.2550114393234253,8,0.011034611626574709
People_017_h.jpg,F,0.22354000524961462,0.23117752373218536,7,0.007637518482570743
People_017_h.jpg,G,0.1611954868,0.1766441911458969,5,0.015448704345896902
People_018_h.jpg,A,1,1,None,0
People_018_h.jpg,B,0.659951634396917,0.6591872572898865,42,0.0007643771070304783
People_018_h.jpg,C,0.45775766648680044,0.46189188957214355,19,0.004134223085343114
People_018_h.jpg,D,0.3375324138621293,0.335679829120636,11,0.0018525847414933017
People_018_h.jpg,E,0.26604605095,0.2741137742996216,8,0.00806772334962158
People_018_h.jpg,F,0.22354000524961462,0.22252950072288513,6,0.0010105045267294888
People_018_h.jpg,G,0.1611954868,0.16849741339683533,4,0.0073019265968353175
People_019_v.jpg,A,1,1,None,0
People_019_v.jpg,B,0.659951634396917,0.660449743270874,37,0.0004981088739570705
People_019_v.jpg,C,0.45775766648680044,0.4631955325603485,17,0.00543786607354807
People_019_v.jpg,D,0.3375324138621293,0.3341832160949707,10,0.003349197767158585
People_019_v.jpg,E,0.26604605095,0.25954964756965637,7,0.006496403380343629
People_019_v.jpg,F,0.22354000524961462,0.23359334468841553,6,0.010053339438800907
People_019_v.jpg,G,0.1611954868,0.1721721887588501,4,0.010976701958850088
People_020_h.jpg,A,1,1,None,0
People_020_h.jpg,B,0.659951634396917,0.659660816192627,41,0.0002908182042899998
People_020_h.jpg,C,0.45775766648680044,0.45482584834098816,18,0.0029318181458122816
People_020_h.jpg,D,0.3375324138621293,0.337799608707428,11,0.00026719484529869053
People_020_h.jpg,E,0.26604605095,0.2742884159088135,8,0.008242364958813475
People_020_h.jpg,F,0.22354000524961462,0.2218201458454132,6,0.0017198594042014126
People_020_h.jpg,G,0.1611954868,0.1684657633304596,4,0.007270276530459585
People_021_h.jpg,A,1,1,None,0
People_021_h.jpg,B,0.659951634396917,0.6579896807670593,35,0.0019619536298576268
People_021_h.jpg,C,0.45775766648680044,0.4661320745944977,16,0.00837440810769724
People_021_h.jpg,D,0.3375324138621293,0.3322846591472626,9,0.005247754714866715
People_021_h.jpg,E,0.26604605095,0.28071320056915283,7,0.01466714961915283
People_021_h.jpg,F,0.22354000524961462,0.2223479002714157,5,0.0011921049781989101
People_021_h.jpg,G,0.1611954868,0.15399211645126343,3,0.007203370348736582
People_022_h.jpg,A,1,1,None,0
People_022_h.jpg,B,0.659951634396917,0.6572460532188416,40,0.0027055811780754002
People_022_h.jpg,C,0.45775766648680044,0.4520632326602936,17,0.005694433826506862
People_022_h.jpg,D,0.3375324138621293,0.33352142572402954,10,0.004010988138099747
People_022_h.jpg,E,0.26604605095,0.2629086375236511,7,0.0031374134263488784
People_022_h.jpg,F,0.22354000524961462,0.23455201089382172,6,0.011012005644207096
People_022_h.jpg,G,0.1611954868,0.17197103798389435,4,0.010775551183894339
People_023_h.jpg,A,1,1,None,0
People_023_h.jpg,B,0.659951634396917,0.6571959853172302,40,0.0027556490796867283
People_023_h.jpg,C,0.45775766648680044,0.45257100462913513,17,0.005186661857665309
People_023_h.jpg,D,0.3375324138621293,0.3347740173339844,10,0.002758396528144913
People_023_h.jpg,E,0.26604605095,0.2663325071334839,7,0.00028645618348388524
People_023_h.jpg,F,0.22354000524961462,0.21049951016902924,5,0.013040495080585385
People_023_h.jpg,G,0.1611954868,0.14716891944408417,3,0.014026567355915842
People_024_v.jpg,A,1,1,None,0
People_024_v.jpg,B,0.659951634396917,0.6607028245925903,36,0.0007511901956733791
People_024_v.jpg,C,0.45775766648680044,0.4573068618774414,16,0.00045080460935903455
People_024_v.jpg,D,0.3375324138621293,0.347139835357666,10,0.009607421495536728
People_024_v.jpg,E,0.26604605095,0.2755765914916992,7,0.009530540541699217
People_024_v.jpg,F,0.22354000524961462,0.21685512363910675,5,0.00668488161050787
People_024_v.jpg,G,0.1611954868,0.14169764518737793,3,0.01949784161262208
People_025_v.jpg,A,1,1,None,0
People_025_v.jpg,B,0.659951634396917,0.6619206666946411,36,0.0019690322977241603
People_025_v.jpg,C,0.45775766648680044,0.46303901076316833,17,0.005281344276367894
People_025_v.jpg,D,0.3375324138621293,0.3298102617263794,10,0.0077221521357498935
People_025_v.jpg,E,0.26604605095,0.2544671595096588,7,0.011578891440341188
People_025_v.jpg,F,0.22354000524961462,0.22816704213619232,6,0.004627036886577701
People_025_v.jpg,G,0.1611954868,0.16619174182415009,4,0.004996255024150076
People_026_h.jpg,A,1,1,None,0
People_026_h.jpg,B,0.659951634396917,0.6609720587730408,40,0.0010204243761238185
People_026_h.jpg,C,0.45775766648680044,0.45599037408828735,17,0.0017672923985130873
People_026_h.jpg,D,0.3375324138621293,0.33869701623916626,10,0.0011646023770369718
People_026_h.jpg,E,0.26604605095,0.26866114139556885,7,0.002615090445568846
People_026_h.jpg,F,0.22354000524961462,0.21055369079113007,5,0.012986314458484555
People_026_h.jpg,G,0.1611954868,0.1761491447687149,4,0.014953657968714895
People_027_h.jpg,A,1,1,None,0
People_027_h.jpg,B,0.659951634396917,0.6569916605949402,43,0.0029599738019767674
People_027_h.jpg,C,0.45775766648680044,0.45929428935050964,19,0.0015366228637092028
People_027_h.jpg,D,0.3375324138621293,0.33945542573928833,11,0.001923011877159042
People_027_h.jpg,E,0.26604605095,0.2776607871055603,8,0.011614736155560301
People_027_h.jpg,F,0.22354000524961462,0.2268269658088684,6,0.0032869605592537876
People_027_h.jpg,G,0.1611954868,0.16368542611598969,4,0.0024899393159896754
People_028_h.jpg,A,1,1,None,0
People_028_h.jpg,B,0.659951634396917,0.6637085676193237,41,0.0037569332224067775
People_028_h.jpg,C,0.45775766648680044,0.45602932572364807,18,0.0017283407631523695
People_028_h.jpg,D,0.3375324138621293,0.3410801589488983,11,0.0035477450867690274
People_028_h.jpg,E,0.26604605095,0.2770400941371918,8,0.010994043187191771
People_028_h.jpg,F,0.22354000524961462,0.22541747987270355,6,0.0018774746230889316
People_028_h.jpg,G,0.1611954868,0.16631494462490082,4,0.005119457824900808
People_029_h.jpg,A,1,1,None,0
People_029_h.jpg,B,0.659951634396917,0.66158127784729,35,0.0016296434503730861
People_029_h.jpg,C,0.45775766648680044,0.4642898738384247,16,0.006532207351624242
People_029_h.jpg,D,0.3375324138621293,0.32930684089660645,9,0.008225572965522843
People_029_h.jpg,E,0.26604605095,0.2784948945045471,7,0.012448843554547118
People_029_h.jpg,F,0.22354000524961462,0.2199835330247879,5,0.0035564722248267178
People_029_h.jpg,G,0.1611954868,0.1442583203315735,3,0.016937166468426523
People_030_h.jpg,A,1,1,None,0
People_030_h.jpg,B,0.659951634396917,0.6605692505836487,44,0.0006176161867317287
People_030_h.jpg,C,0.45775766648680044,0.45305219292640686,19,0.0047054735603935804
People_030_h.jpg,D,0.3375324138621293,0.32911285758018494,11,0.008419556281944351
People_030_h.jpg,E,0.26604605095,0.2691406011581421,8,0.0030945502081420884
People_030_h.jpg,F,0.22354000524961462,0.21813230216503143,6,0.0054077030845831875
People_030_h.jpg,G,0.1611954868,0.16049610078334808,4,0.0006993860166519261
People_031_v.jpg,A,1,1,None,0
People_031_v.jpg,B,0.659951634396917,0.6600156426429749,45,6.400824605790056e-05
People_031_v.jpg,C,0.45775766648680044,0.46088871359825134,21,0.003131047111450902
People_031_v.jpg,D,0.3375324138621293,0.3456856906414032,13,0.00815327677927391
People_031_v.jpg,E,0.26604605095,0.2761833369731903,9,0.010137286023190306
People_031_v.jpg,F,0.22354000524961462,0.22453755140304565,7,0.0009975461534310337
People_031_v.jpg,G,0.1611954868,0.15441492199897766,4,0.0067805648010223485
People_032_h.jpg,A,1,1,None,0
People_032_h.jpg,B,0.659951634396917,0.6550042033195496,37,0.004947431077367392
People_032_h.jpg,C,0.45775766648680044,0.4540906548500061,16,0.0036670116367943373
People_032_h.jpg,D,0.3375324138621293,0.3358169198036194,9,0.0017154940585099032
People_032_h.jpg,E,0.26604605095,0.2650355100631714,6,0.0010105408868286148
People_032_h.jpg,F,0.22354000524961462,0.23331601917743683,5,0.009776013927822208
People_032_h.jpg,G,0.1611954868,0.1629791408777237,3,0.0017836540777236842
People_033_h.jpg,A,1,1,None,0
People_033_h.jpg,B,0.659951634396917,0.6614197492599487,45,0.0014681148630317775
People_033_h.jpg,C,0.45775766648680044,0.4549923539161682,20,0.002765312570632228
People_033_h.jpg,D,0.3375324138621293,0.3304663598537445,12,0.007066054008384781
People_033_h.jpg,E,0.26604605095,0.26909542083740234,9,0.0030493698874023423
People_033_h.jpg,F,0.22354000524961462,0.22048157453536987,7,0.0030584307142447476
People_033_h.jpg,G,0.1611954868,0.1670863777399063,5,0.005890890939906301
People_034_h.jpg,A,1,1,None,0
People_034_h.jpg,B,0.659951634396917,0.659551739692688,35,0.00039989470422896467
People_034_h.jpg,C,0.45775766648680044,0.45704415440559387,16,0.0007135120812065687
People_034_h.jpg,D,0.3375324138621293,0.34286218881607056,10,0.005329774953941269
People_034_h.jpg,E,0.26604605095,0.26419299840927124,7,0.0018530525407287612
